Concatenation of several data files in RES2DINV
  5.0000
3
614
0
0
    835.0000,      5.0000,    3.000000     137.6500 
    840.0000,      5.0000,    3.000000     134.0300 
    845.0000,      5.0000,    3.000000     107.7300 
    850.0000,      5.0000,    3.000000     130.0800 
    855.0000,      5.0000,    3.000000     128.6500 
    860.0000,      5.0000,    3.000000     100.3600 
    865.0000,      5.0000,    3.000000      88.8470 
    870.0000,      5.0000,    3.000000      91.8600 
    875.0000,      5.0000,    3.000000      96.5780 
    880.0000,      5.0000,    3.000000      99.5660 
    885.0000,      5.0000,    3.000000      93.7020 
    890.0000,      5.0000,    3.000000      94.3730 
    895.0000,      5.0000,    3.000000     114.9700 
    900.0000,      5.0000,    3.000000     132.4900 
    905.0000,      5.0000,    3.000000     115.2200 
    910.0000,      5.0000,    3.000000      72.6930 
    915.0000,      5.0000,    3.000000     113.2700 
    920.0000,      5.0000,    3.000000     109.2300 
    925.0000,      5.0000,    3.000000     123.2000 
    930.0000,      5.0000,    3.000000     124.9500 
    935.0000,      5.0000,    3.000000      93.3840 
    940.0000,      5.0000,    3.000000     150.3900 
    945.0000,      5.0000,    3.000000     160.7600 
    950.0000,      5.0000,    3.000000      98.8180 
    955.0000,      5.0000,    3.000000      60.9290 
    960.0000,      5.0000,    3.000000      62.2960 
    965.0000,      5.0000,    3.000000      49.4660 
    970.0000,      5.0000,    3.000000      35.5090 
    975.0000,      5.0000,    3.000000      34.2610 
    980.0000,      5.0000,    3.000000      32.2920 
    995.0000,      5.0000,    3.000000      39.0610 
   1000.0000,      5.0000,    3.000000      32.8790 
   1015.0000,      5.0000,    3.000000      50.1630 
   1020.0000,      5.0000,    3.000000      48.5780 
   1025.0000,      5.0000,    3.000000      50.8790 
   1030.0000,      5.0000,    3.000000      66.1930 
   1035.0000,      5.0000,    3.000000      70.2540 
   1040.0000,      5.0000,    3.000000      65.2230 
   1045.0000,      5.0000,    3.000000      53.0500 
   1050.0000,      5.0000,    3.000000      67.3960 
   1055.0000,      5.0000,    3.000000      63.1580 
   1060.0000,      5.0000,    3.000000      51.5710 
   1065.0000,      5.0000,    3.000000      56.3070 
   1070.0000,      5.0000,    3.000000      57.6170 
   1075.0000,      5.0000,    3.000000      48.7440 
    800.0000,      5.0000,    4.000000     125.4900 
    805.0000,      5.0000,    4.000000     155.9100 
    810.0000,      5.0000,    4.000000     132.2200 
    815.0000,      5.0000,    4.000000     119.1400 
    820.0000,      5.0000,    4.000000     140.4400 
    825.0000,      5.0000,    4.000000     160.5400 
    830.0000,      5.0000,    4.000000     161.5900 
    835.0000,      5.0000,    4.000000     152.8400 
    840.0000,      5.0000,    4.000000     128.8500 
    845.0000,      5.0000,    4.000000     132.9500 
    850.0000,      5.0000,    4.000000     143.8600 
    855.0000,      5.0000,    4.000000     112.2500 
    860.0000,      5.0000,    4.000000      98.4850 
    865.0000,      5.0000,    4.000000      94.9390 
    870.0000,      5.0000,    4.000000     106.0100 
    875.0000,      5.0000,    4.000000     112.7000 
    880.0000,      5.0000,    4.000000      99.8710 
    885.0000,      5.0000,    4.000000     115.0300 
    890.0000,      5.0000,    4.000000     110.5600 
    895.0000,      5.0000,    4.000000     120.0500 
    900.0000,      5.0000,    4.000000     154.0600 
    905.0000,      5.0000,    4.000000      85.0300 
    910.0000,      5.0000,    4.000000     122.4000 
    915.0000,      5.0000,    4.000000     113.8800 
    920.0000,      5.0000,    4.000000     168.6300 
    925.0000,      5.0000,    4.000000     144.5600 
    930.0000,      5.0000,    4.000000     148.3300 
    940.0000,      5.0000,    4.000000     158.1700 
    945.0000,      5.0000,    4.000000      87.0010 
    950.0000,      5.0000,    4.000000      75.4720 
    955.0000,      5.0000,    4.000000      55.9250 
    960.0000,      5.0000,    4.000000      57.6820 
    965.0000,      5.0000,    4.000000      44.0780 
    970.0000,      5.0000,    4.000000      31.8700 
    975.0000,      5.0000,    4.000000      26.6190 
    990.0000,      5.0000,    4.000000      30.6670 
    995.0000,      5.0000,    4.000000      36.5910 
   1000.0000,      5.0000,    4.000000      40.9760 
   1015.0000,      5.0000,    4.000000      56.0740 
   1020.0000,      5.0000,    4.000000      52.6510 
   1025.0000,      5.0000,    4.000000      65.3710 
   1030.0000,      5.0000,    4.000000      83.4460 
   1035.0000,      5.0000,    4.000000      75.4300 
   1040.0000,      5.0000,    4.000000      71.4560 
   1045.0000,      5.0000,    4.000000      65.2020 
   1050.0000,      5.0000,    4.000000      73.3960 
   1055.0000,      5.0000,    4.000000      67.0700 
   1060.0000,      5.0000,    4.000000      60.1570 
   1065.0000,      5.0000,    4.000000      62.2840 
   1070.0000,      5.0000,    4.000000      62.2070 
    800.0000,     10.0000,    2.000000     142.4600 
    805.0000,     10.0000,    2.000000     128.1900 
    810.0000,     10.0000,    2.000000     120.2600 
    815.0000,     10.0000,    2.000000     130.9000 
    820.0000,     10.0000,    2.000000     150.9500 
    825.0000,     10.0000,    2.000000     163.7200 
    830.0000,     10.0000,    2.000000     149.1400 
    835.0000,     10.0000,    2.000000     137.4100 
    840.0000,     10.0000,    2.000000     138.0600 
    845.0000,     10.0000,    2.000000     128.9700 
    850.0000,     10.0000,    2.000000     109.5900 
    855.0000,     10.0000,    2.000000     100.7400 
    860.0000,     10.0000,    2.000000     100.8200 
    865.0000,     10.0000,    2.000000     109.4900 
    870.0000,     10.0000,    2.000000     111.9500 
    875.0000,     10.0000,    2.000000     109.2000 
    880.0000,     10.0000,    2.000000     119.1700 
    885.0000,     10.0000,    2.000000     113.9200 
    890.0000,     10.0000,    2.000000     117.7200 
    895.0000,     10.0000,    2.000000     126.7800 
    900.0000,     10.0000,    2.000000     123.7800 
    905.0000,     10.0000,    2.000000     133.2300 
    910.0000,     10.0000,    2.000000     132.8800 
    915.0000,     10.0000,    2.000000     176.0600 
    920.0000,     10.0000,    2.000000     168.4900 
    925.0000,     10.0000,    2.000000     167.6400 
    930.0000,     10.0000,    2.000000     137.4400 
    935.0000,     10.0000,    2.000000     112.8700 
    940.0000,     10.0000,    2.000000      77.0570 
    945.0000,     10.0000,    2.000000      69.4200 
    950.0000,     10.0000,    2.000000      58.6240 
    955.0000,     10.0000,    2.000000      51.0970 
    960.0000,     10.0000,    2.000000      44.7870 
    965.0000,     10.0000,    2.000000      31.5240 
    975.0000,     10.0000,    2.000000      40.8340 
    985.0000,     10.0000,    2.000000      31.4610 
    990.0000,     10.0000,    2.000000      35.4160 
    995.0000,     10.0000,    2.000000      41.0740 
   1005.0000,     10.0000,    2.000000      44.3990 
   1015.0000,     10.0000,    2.000000      59.1870 
   1020.0000,     10.0000,    2.000000      69.2330 
   1025.0000,     10.0000,    2.000000      81.2750 
   1030.0000,     10.0000,    2.000000      78.9230 
   1035.0000,     10.0000,    2.000000      77.7330 
   1040.0000,     10.0000,    2.000000      71.9260 
   1045.0000,     10.0000,    2.000000      70.4290 
   1050.0000,     10.0000,    2.000000      71.1350 
   1055.0000,     10.0000,    2.000000      65.8930 
   1060.0000,     10.0000,    2.000000      65.4890 
    800.0000,      5.0000,    5.000000     139.0800 
    805.0000,      5.0000,    5.000000     137.5100 
    810.0000,      5.0000,    5.000000     118.2500 
    815.0000,      5.0000,    5.000000     123.8800 
    820.0000,      5.0000,    5.000000     131.9900 
