Idx,X,Y,Z
0,2549054.722,5569442.502,451.45318966575553
1,2549056.2908235295,5569441.221588235,451.3824731426305
2,2549057.859647059,5569439.941176471,451.25345919030036
3,2549059.4284705883,5569438.660764706,451.0938767299717
4,2549060.9972941177,5569437.380352941,450.93429426964315
5,2549062.566117647,5569436.099941176,450.79634312539724
6,2549064.1349411765,5569434.819529412,450.6585298189949
7,2549065.703764706,5569433.539117647,450.51518453438604
8,2549067.2725882353,5569432.258705882,450.36878416703917
9,2549068.8414117647,5569430.978294118,450.2394306888791
10,2549070.410235294,5569429.697882353,450.1113604333681
11,2549071.9790588235,5569428.417470588,449.9912553364666
12,2549073.547882353,5569427.137058824,449.8128241522811
13,2549075.1167058824,5569425.856647059,449.71105238411747
14,2549076.685529412,5569424.576235294,449.60109909247933
15,2549078.254352941,5569423.295823529,449.4774113475445
16,2549079.8231764706,5569422.015411765,449.2765943962624
17,2549081.392,5569420.735,449.1174460030217
18,2549082.7552777776,5569419.443444445,449.02734007462675
19,2549084.1185555556,5569418.151888889,448.87859991626135
20,2549085.481833333,5569416.860333334,448.7184012505209
21,2549086.845111111,5569415.568777778,448.5913404471287
22,2549088.2083888887,5569414.277222223,448.46541520114937
23,2549089.571666667,5569412.985666667,448.3336672519616
24,2549090.9349444443,5569411.694111112,448.19312095211876
25,2549092.2982222224,5569410.402555556,448.0349513618705
26,2549093.6615,5569409.111,447.89271905462846
27,2549095.0247777775,5569407.819444444,447.7482123722874
28,2549096.3880555555,5569406.5278888885,447.6075978713206
29,2549097.751333333,5569405.236333333,447.3987865328897
30,2549099.114611111,5569403.944777777,447.1828768964185
31,2549100.4778888887,5569402.653222222,446.9669672599938
32,2549101.8411666667,5569401.361666666,446.7424889676314
33,2549103.2044444443,5569400.070111111,446.4893016397921
34,2549104.5677222223,5569398.778555555,446.2373212937909
35,2549105.931,5569397.487,445.9911989023723
36,2549107.5050555556,5569396.099555556,445.7143975430231
37,2549109.079111111,5569394.712111111,445.4142243041835
38,2549110.6531666666,5569393.324666667,445.1730988223274
39,2549112.227222222,5569391.937222222,444.9332437992773
40,2549113.8012777776,5569390.549777778,444.68052604845064
41,2549115.3753333334,5569389.162333333,444.41737659774026
42,2549116.9493888887,5569387.774888889,444.12170077796395
43,2549118.5234444444,5569386.387444444,443.8082016187392
44,2549120.0975,5569385.0,443.48830237580523
45,2549121.6715555554,5569383.612555556,443.10434974507353
46,2549123.245611111,5569382.225111111,442.72175467519344
47,2549124.8196666664,5569380.837666667,442.315748892226
48,2549126.393722222,5569379.450222222,441.9283668403604
49,2549127.967777778,5569378.062777778,441.5656777915697
50,2549129.541833333,5569376.675333333,441.1818307576681
51,2549131.115888889,5569375.287888889,440.75483394816604
52,2549132.689944444,5569373.900444444,440.32685657159857
53,2549134.264,5569372.513,439.961217767662
54,2549135.5958666666,5569371.153466667,439.5916472494187
55,2549136.9277333333,5569369.793933334,439.1942183440859
56,2549138.2596,5569368.434400001,438.82855446429676
57,2549139.5914666667,5569367.074866666,438.44633252442316
58,2549140.9233333333,5569365.715333333,438.03039372857404
59,2549142.2552,5569364.3558,437.6480568059305
60,2549143.5870666667,5569362.996266667,437.26001852176006
61,2549144.9189333334,5569361.636733334,436.8912601436988
62,2549146.2508,5569360.2772,436.53609261199665
63,2549147.5826666667,5569358.917666667,436.1809250802945
64,2549148.9145333334,5569357.558133334,435.8257575485924
65,2549150.2464,5569356.1986,435.4705900167342
66,2549151.5782666667,5569354.839066667,435.11542248503207
67,2549152.9101333334,5569353.479533333,434.76025495333
68,2549154.242,5569352.12,434.40508742162785
