Idx,X,Y,Z
0,2549044.34,5569431.571,452.0983517415107
1,2549045.8832941176,5569430.2185294125,451.99005300898534
2,2549047.426588235,5569428.866058824,451.88277679040885
3,2549048.9698823527,5569427.513588236,451.78415566964094
4,2549050.5131764705,5569426.161117648,451.68625052135246
5,2549052.0564705883,5569424.808647059,451.58834537307473
6,2549053.5997647056,5569423.456176471,451.49044022482053
7,2549055.1430588234,5569422.103705883,451.392535076532
8,2549056.686352941,5569420.751235294,451.2946299282542
9,2549058.2296470585,5569419.398764706,451.17436567237837
10,2549059.7729411763,5569418.046294117,451.04357589651147
11,2549061.316235294,5569416.693823529,450.9105968509636
12,2549062.8595294114,5569415.3413529415,450.7820829644433
13,2549064.402823529,5569413.988882353,450.6473168160032
14,2549065.946117647,5569412.636411765,450.51194831245004
15,2549067.489411765,5569411.283941177,450.3567161173439
16,2549069.032705882,5569409.931470588,450.20918018031284
17,2549070.576,5569408.579,450.0614723117128
18,2549072.205888889,5569407.332222222,449.92880350352254
19,2549073.8357777777,5569406.085444445,449.76633869957345
20,2549075.4656666666,5569404.838666666,449.5311062030671
21,2549077.0955555555,5569403.591888889,449.4367053605623
22,2549078.7254444445,5569402.345111111,449.1666326013089
23,2549080.3553333334,5569401.098333334,448.94752046256514
24,2549081.9852222223,5569399.851555555,448.7213559404206
25,2549083.615111111,5569398.604777778,448.49519141829205
26,2549085.245,5569397.358,448.2690268961633
27,2549086.8748888886,5569396.111222222,448.01239866025514
28,2549088.5047777775,5569394.864444445,447.75829558684876
29,2549090.1346666664,5569393.617666666,447.5378544609356
30,2549091.7645555553,5569392.370888889,447.313279454111
31,2549093.394444444,5569391.124111111,447.0709019575241
32,2549095.024333333,5569389.877333334,446.76518904804783
33,2549096.654222222,5569388.630555555,446.45836302155533
34,2549098.284111111,5569387.383777778,446.1493191264019
35,2549099.914,5569386.137,445.80066532676744
36,2549101.046777778,5569384.733555555,445.446980801853
37,2549102.1795555553,5569383.3301111115,445.09788616875625
38,2549103.3123333333,5569381.926666667,444.75799856511946
39,2549104.445111111,5569380.523222222,444.40899873389355
40,2549105.577888889,5569379.119777778,444.0642708908964
41,2549106.7106666667,5569377.716333333,443.75046402196915
42,2549107.8434444442,5569376.312888889,443.451364646468
43,2549108.976222222,5569374.909444445,443.1367008369024
44,2549110.109,5569373.506,442.8350553035643
45,2549111.2417777777,5569372.102555555,442.4872914293126
46,2549112.3745555556,5569370.699111111,442.04677983608235
47,2549113.507333333,5569369.295666667,441.66342378747515
48,2549114.640111111,5569367.892222222,441.3277832954867
49,2549115.772888889,5569366.488777778,441.0006129857646
50,2549116.9056666666,5569365.085333333,440.6354045110552
51,2549118.0384444445,5569363.681888889,440.2808045678264
52,2549119.171222222,5569362.278444445,439.8777723853821
53,2549120.304,5569360.875,439.53331478855546
54,2549121.5005555553,5569359.324222222,439.1436820412867
55,2549122.697111111,5569357.773444445,438.73635911143145
56,2549123.893666667,5569356.222666667,438.3465315445848
57,2549125.0902222223,5569354.671888889,437.9957235183355
58,2549126.2867777776,5569353.121111111,437.61515825996923
59,2549127.4833333334,5569351.570333334,437.2170082559686
60,2549128.679888889,5569350.019555556,436.8371924177355
61,2549129.8764444445,5569348.468777778,436.47418536236455
62,2549131.073,5569346.918,436.1218858955783
63,2549132.2695555557,5569345.3672222225,435.7595940784421
64,2549133.4661111115,5569343.8164444445,435.391971947811
65,2549134.662666667,5569342.265666666,435.02434981723394
66,2549135.859222222,5569340.714888889,434.65672768679417
67,2549137.055777778,5569339.164111111,434.2611616001632
68,2549138.2523333337,5569337.613333333,433.8553402844383
69,2549139.448888889,5569336.062555555,433.486750257557
70,2549140.6454444444,5569334.511777778,433.1442926353776
71,2549141.842,5569332.961,432.7870600256874
