Idx,X,Y,Z
0,2549155.681,5569445.676,444.9070461829414
1,2549154.2238,5569444.0914,444.8019918237472
2,2549152.7665999997,5569442.5068,444.69152799085987
3,2549151.3093999997,5569440.9222,444.5726403798584
4,2549149.8522,5569439.3376,444.5493018878051
5,2549148.395,5569437.753,444.5259633957038
6,2549146.9378,5569436.1684,444.5026249036912
7,2549145.4806,5569434.5838,444.44474453627305
8,2549144.0234,5569432.9991999995,444.4029586134566
9,2549142.5662,5569431.4146,444.3888036376565
10,2549141.1089999997,5569429.83,444.37464866185627
11,2549139.6517999996,5569428.245399999,444.3695733402292
12,2549138.1946,5569426.6608,444.4050691826392
13,2549136.7374,5569425.0762,444.44056502508454
14,2549135.2802,5569423.491599999,444.48409167347444
15,2549133.823,5569421.907,444.5307966862074
16,2549133.2046,5569420.6948,444.5279102040768
17,2549132.5862,5569419.4826,444.5261448375346
18,2549131.9678,5569418.2704,444.52675322319175
19,2549131.3494,5569417.0582,444.5273616088855
20,2549130.731,5569415.846,444.5232456995542
21,2549129.4622,5569414.348999999,444.56118130822887
22,2549128.1934,5569412.852,444.6064005399102
23,2549126.9246,5569411.3549999995,444.65161977158726
24,2549125.6558000003,5569409.858,444.67896850340605
25,2549124.387,5569408.361,444.6815683004686
26,2549123.1182,5569406.864,444.68416809760186
27,2549121.8494,5569405.367,444.69180159930426
28,2549120.5806,5569403.87,444.7321938996935
29,2549119.3118000003,5569402.373,444.76296062342595
30,2549118.043,5569400.876,444.7937273472555
31,2549116.7742,5569399.379,444.85365904456376
32,2549115.5054,5569397.882,444.9151945796042
33,2549114.2366,5569396.385,444.961763342073
34,2549112.9678,5569394.888,445.03450639307135
35,2549111.699,5569393.391,445.07282304587216
36,2549110.2502222224,5569391.902777778,445.13032223517195
37,2549108.8014444443,5569390.414555555,445.2064463817462
38,2549107.3526666667,5569388.926333333,445.7874907473048
39,2549105.9038888887,5569387.438111111,445.8770477976775
40,2549104.455111111,5569385.949888889,445.30494016128097
41,2549103.0063333334,5569384.461666667,445.20171905273355
42,2549101.5575555554,5569382.973444444,445.10810339718773
43,2549100.1087777778,5569381.485222222,445.0298156473452
44,2549098.66,5569379.9969999995,445.0585805657462
45,2549097.211222222,5569378.508777778,445.0512983778714
46,2549095.7624444445,5569377.020555556,445.12465197918664
47,2549094.3136666664,5569375.532333333,445.3029864304126
48,2549092.864888889,5569374.044111111,445.3647364107077
49,2549091.416111111,5569372.555888889,445.41301818815464
50,2549089.967333333,5569371.067666667,445.3824886024796
51,2549088.5185555555,5569369.579444445,445.3828123903586
52,2549087.0697777774,5569368.091222222,445.3275223422853
53,2549085.621,5569366.603,445.36598581200803
54,2549084.3877777774,5569365.062111111,445.57213942392065
55,2549083.1545555554,5569363.521222223,445.7703033874127
56,2549081.921333333,5569361.980333334,445.70630890223504
57,2549080.688111111,5569360.439444444,445.6784882520668
58,2549079.4548888886,5569358.898555555,445.70234657860385
59,2549078.2216666667,5569357.357666667,445.7262049050244
60,2549076.9884444443,5569355.816777778,445.7396865526068
61,2549075.7552222223,5569354.275888889,445.729939211078
62,2549074.522,5569352.734999999,445.8123352584769
63,2549073.2887777775,5569351.194111111,446.0814208928563
64,2549072.0555555555,5569349.653222222,446.3278919931215
65,2549070.822333333,5569348.112333333,446.33744254352405
66,2549069.589111111,5569346.571444444,446.34709827235383
67,2549068.3558888887,5569345.030555556,446.37372400947646
68,2549067.1226666667,5569343.489666667,446.4006569718798
69,2549065.8894444443,5569341.948777777,446.4287085001466
70,2549064.6562222224,5569340.407888888,446.4302562841259
71,2549063.423,5569338.867,446.4162866556396
